=======================================================================================
STELLAR OBJECT TYPES DATA FILE
=======================================================================================

Maximum Stellar Object Types Allowed = 1000

Allowable Values for Physical Type: 
  None, Planet, Asteroids, Storm, Star, Warp Point, Destroyed Star, Comet

Allowable Values for Planet Size:
  Asteroids, Tiny, Small, Medium, Large, Huge

Allowable Values for Planet Physical Type:
  Rock, Ice, Gas Giant

Allowable Values for Planet Atmosphere:
  None, Methane, Oxygen, Hydrogen, Carbon Dioxide

NOTE: The following combinations of plant physical type and atmosphere are 
not allowed: Gas Giant x None.

Allowable Values for all other sizes:
  Tiny, Small, Medium, Large, Huge

Allowable Values for Star Age:
  Young, Average, Old, Ancient

Allowable Values for Star Color:
  Yellow, Red, Purple, Green, Blue, White, Orange

Allowable Values for Star Luminosity:
  Dim, Average, Bright

None           - Gray
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0016 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0016 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 452
Portrait Filename          := planet_terr_0016_large.bmp
Large Portrait Filename    := planet_terr_0016_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0017 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0017 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 457
Portrait Filename          := planet_terr_0017_large.bmp
Large Portrait Filename    := planet_terr_0017_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0018 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0018 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 462
Portrait Filename          := planet_terr_0018_large.bmp
Large Portrait Filename    := planet_terr_0018_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0019 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0019 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 467
Portrait Filename          := planet_terr_0019_large.bmp
Large Portrait Filename    := planet_terr_0019_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0020 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0020 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 472
Portrait Filename          := planet_terr_0020_large.bmp
Large Portrait Filename    := planet_terr_0020_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0021 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0021 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 477
Portrait Filename          := planet_terr_0021_large.bmp
Large Portrait Filename    := planet_terr_0021_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0022 Large
Physical Type              := Planet
XFile Class Name           := Planet Terr 0022 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 482
Portrait Filename          := planet_terr_0022_large.bmp
Large Portrait Filename    := planet_terr_0022_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Ven 0001 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0001 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 497
Portrait Filename          := planet_ven_0001_large.bmp
Large Portrait Filename    := planet_ven_0001_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Ven 0005 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0005 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 517
Portrait Filename          := planet_ven_0005_large.bmp
Large Portrait Filename    := planet_ven_0005_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Ven 0003 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0003 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 507
Portrait Filename          := planet_ven_0003_large.bmp
Large Portrait Filename    := planet_ven_0003_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0004 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0004 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 512
Portrait Filename          := planet_ven_0004_large.bmp
Large Portrait Filename    := planet_ven_0004_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0012 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0012 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 552
Portrait Filename          := planet_ven_0012_large.bmp
Large Portrait Filename    := planet_ven_0012_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0013 Large
Physical Type              := Planet
XFile Class Name           := Planet Ven 0013 Large
Maximum Model Size         := 14.0
Hex Size                   := 1
Picture Index              := 557
Portrait Filename          := planet_ven_0013_large.bmp
Large Portrait Filename    := planet_ven_0013_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
